BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
128,0,0,0,0,1,0,1,0,1,0,2,0,21,0,265,86,265,81,265,33,0,0,0,0,2,0,290,46,246,64064,50.83595275,46.95096177,48.08926522,48.17841415,51.94540611
129,0,0,0,0,1,0,1,0,1,0,2,0,13,0,265,79,265,84,265,39,0,0,0,0,2,0,290,45,247,64558,51.07737439,47.15018503,48.4069161,48.5065149,51.85900958
130,0,0,0,0,1,0,1,0,1,0,2,0,8,0,265,71,265,87,265,45,0,0,0,0,2,0,290,43,246,65050,51.01829774,46.97173778,48.21916039,48.31758903,51.47321505
131,0,0,0,0,1,0,1,0,1,0,2,0,6,0,265,64,265,89,265,50,0,0,1,0,2,0,290,42,245,65540,51.09022586,46.77279847,48.02515148,48.13502644,50.97679775
132,0,0,0,0,1,0,1,0,0,0,2,0,4,0,265,58,265,89,265,57,0,0,1,0,2,0,290,40,244,66028,51.15498214,46.60486169,47.85028403,47.92273962,50.46713252
133,0,0,0,0,1,0,1,0,1,0,2,0,3,0,265,51,265,89,265,64,0,0,0,0,2,0,290,39,243,66514,50.96153054,46.26932049,47.4280706,47.48735661,50.85372176
134,0,0,0,0,1,0,1,0,1,0,2,0,2,0,265,44,265,88,265,72,190,0,0,0,2,0,290,38,242,66998,51.02044093,46.0982093,47.17646275,47.22311892,50.48176811
135,0,0,0,0,1,0,1,0,1,0,2,0,2,0,265,37,265,86,265,65,265,18,0,0,2,0,290,36,242,67482,49.89136533,46.2942424,47.3852932,47.34863677,51.0804623
136,0,0,0,0,1,0,1,0,1,0,2,0,2,0,265,31,265,84,265,70,265,21,1,0,2,0,290,35,241,67964,50.12819466,46.14455625,47.14980595,47.06479052,50.51265263
137,0,0,0,0,1,0,1,0,0,0,2,0,2,0,154,0,265,90,265,76,265,24,1,0,2,0,290,43,233,68430,48.76312622,44.57953418,45.56807146,45.46264898,48.62661915
138,0,0,0,0,1,0,1,0,1,0,2,0,1,0,86,0,265,85,265,81,265,28,0,0,2,0,290,40,234,68898,49.17160767,44.74848525,45.77094588,45.68792544,48.62103576
139,0,0,0,0,1,0,1,0,1,0,2,0,1,0,51,0,265,79,265,85,265,32,1,0,2,0,290,37,233,69364,49.09801317,44.54063976,45.61157379,45.51722796,48.23254532
140,0,0,0,0,1,0,1,0,1,0,2,0,1,0,29,0,265,72,265,88,265,36,1,0,2,0,290,34,230,69824,48.54748184,43.97735871,45.03272284,44.97321145,47.46922516
141,0,0,0,0,1,0,1,0,0,0,2,0,1,0,17,0,265,66,265,90,265,42,1,0,2,0,290,31,229,70282,48.38106426,43.83532114,44.86256827,44.79200828,47.12903805
142,0,0,0,0,1,0,1,0,0,0,2,0,1,0,10,0,265,60,265,91,265,47,0,0,1,0,290,29,227,70736,48.02156672,43.50709957,44.51360485,44.44351078,46.51421808
143,0,0,0,0,1,0,1,0,1,0,2,0,1,0,6,0,265,53,265,92,265,53,1,0,1,0,290,27,225,71186,47.58360028,43.17430292,44.16101354,44.11338058,45.96770268
144,0,0,0,0,1,0,1,0,1,0,2,0,1,0,4,0,265,47,265,92,265,61,1,0,1,0,290,25,225,71636,47.37038928,43.08955415,43.9732915,43.95864151,46.60812356
145,0,0,0,0,1,0,1,0,0,0,2,0,1,0,3,0,265,40,265,91,265,67,192,0,1,0,290,23,221,72078,46.47332166,42.35673844,43.18122367,43.17753818,45.81117806
